topic,count,default_name,year_min,year_max,top_documents
9,85,9_elder_bowle_preach_th,1810,1916,"The Life, Labors, and Travels of Elder Charles Bowles, of the Free Will Baptist Denomination, by Eld. John W. Lewis. Together with an Essay on the Character and Condition of the African Race by the Same. Also, an Essay on the Fugitive Law of the U. S. Congress of 1850, by Rev. Arthur Dearing (John W. Lewis): 66 | A Brief Account of the Life, Experience, Travels, and Gospel Labours of George White, an African; Written by Himself, and Revised by a Friend (George  White): 4 | The Life of the Rev. Dandridge F. Davis, of the African M. E. Church. With a Brief Account of His Conversion and Ministerial Labors, from August 1834, till March 1847. Also, a Brief Sketch of the Life of the Rev. David Conyou, of the A. M. E. C. and His Ministerial Labors. To Which Is Annexed the Funeral Discourse Delivered at the Ohio Conference, in Zanesville, on the Decease of the Rev. D. F. Davis, by the Author (A. R. Green): 2 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 1 | From Log Cabin to the Pulpit, or, Fifteen Years in Slavery (William H. Robinson): 1"
10,83,10_jasper_church_preach_mr jasper,1833,1929,"Men of Mark: Eminent, Progressive and Rising (William J. Simmons): 8 | Biography of Rev. David Smith of the A. M. E. Church; Being a Complete History, Embracing over Sixty Years' Labor in the Advancement of the Redeemer's Kingdom on Earth. Including ""The History of the Origin and Development of Wilberforce University."" (David  Smith): 7 | The Life of Rev. John Jasper, Pastor of Sixth Mt. Zion Baptist Church, Richmond, Va., from His Birth to the Present Time, with His Theory on the Rotation of the Sun (Edwin Archer Randolph): 5 | Autobiography and Work of Bishop M. F. Jamison, D.D. (""Uncle Joe"") Editor, Publisher, and Church Extension Secretary; a Narration of His Whole Career from the Cradle to the Bishopric of the Colored M. E. Church in America (M. F. Jamison): 5 | John Jasper: The Unmatched Negro Philosopher and Preacher (William E. Hatcher): 4"
11,77,11_rebel_camp_soldier_regiment,1782,1929,"Life and History of the Rev. Elijah P. Marrs, First Pastor of Beargrass Baptist Church, and Author (Elijah P. Marrs): 20 | Reminiscences of My Life in Camp with the 33d United States Colored Troops Late 1st S. C. Volunteers (Susie King Taylor): 11 | Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutenant-Colonel, Retired, U. S. Army (Charles  Alexander): 5 | Lunsford Lane; or, Another Helper from North Carolina (William G. Hawkins): 4 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 3"
12,76,12_school_student_tuskegee_education,1854,1929,"My Larger Education: Being Chapters from My Experience (Booker T. Washington): 22 | An Autobiography: The Story of My Life and Work (Booker T. Washington): 12 | Up from Slavery: An Autobiography (Booker T. Washington): 10 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 9 | Biography of Rev. David Smith of the A. M. E. Church; Being a Complete History, Embracing over Sixty Years' Labor in the Advancement of the Redeemer's Kingdom on Earth. Including ""The History of the Origin and Development of Wilberforce University."" (David  Smith): 3"
13,76,13_whip_murder_gore_lloyd,1831,1918,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 29 | Uncle Tom's Companions: Or, Facts Stranger Than Fiction.  A Supplement to Uncle Tom's Cabin: Being Startling Incidents in the Lives of Celebrated Fugitive Slaves. (John Passmore Edwards): 5 | Fifty Years of Slavery in the United States of America (Harry  Smith): 3 | My Bondage and My Freedom. Part I. Life as a Slave. Part II. Life as a Freeman (Frederick  Douglass): 3 | Negro Slavery Described by a Negro: Being the Narrative of Ashton Warner, a Native of St. Vincent's. With an Appendix Containing the Testimony of Four Christian Ministers, Recently Returned from the Colonies, on the System of Slavery as It Now Exists (Ashton  Warner): 2"
14,75,14_sancho_letter_sancho letter_mrs sancho,1782,1908,"Letters of the Late Ignatius Sancho, An African. In Two Volumes. To Which Are Prefixed, Memoirs of His Life. Vol. II (Ignatius  Sancho): 34 | Letters of the Late Ignatius Sancho, An African. In Two Volumes. To Which Are Prefixed, Memoirs of His Life. Vol. I (Ignatius  Sancho): 28 | A Tribute for the Negro: Being a Vindication of the Moral, Intellectual, and Religious Capabilities of the Colored Portion of Mankind; with Particular Reference to the African Race (Wilson  Armistead): 4 | Behind the Scenes, or, Thirty years a Slave, and Four Years in the White House (Elizabeth  Keckley): 2 | Twenty-Two Years a Slave, and Forty Years a Freeman; Embracing a Correspondence of Several Years, While President of Wilberforce Colony, London, Canada West (Austin  Steward): 1"
15,74,15_law_laws_public opinion_protection,1831,1980,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 15 | Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutenant-Colonel, Retired, U. S. Army (Charles  Alexander): 8 | Poems by a Slave in the Island of Cuba, Recently Liberated; Translated from the Spanish, by R. R. Madden, M.D. With the History of the Early Life of the Negro Poet, Written by Himself; to Which Are Prefixed Two Pieces Descriptive of Cuban Slavery and the Slave-Traffic, by R. R. M. (Juan Francisco Manzano): 6 | Narrative of William W. Brown, an American Slave. Written by Himself (William Wells Brown): 6 | Negro Slavery Described by a Negro: Being the Narrative of Ashton Warner, a Native of St. Vincent's. With an Appendix Containing the Testimony of Four Christian Ministers, Recently Returned from the Colonies, on the System of Slavery as It Now Exists (Ashton  Warner): 4"
16,73,16_cloth_field_plantation_overseer,1789,1917,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 18 | Slavery in the United States: A Narrative of the Life and Adventures of Charles Ball, a Black Man, Who Lived Forty Years in Maryland, South Carolina and Georgia, as a Slave Under Various Masters, and was One Year in the Navy with Commodore Barney, During the Late War (Charles  Ball): 5 | Negro Slavery Described by a Negro: Being the Narrative of Ashton Warner, a Native of St. Vincent's. With an Appendix Containing the Testimony of Four Christian Ministers, Recently Returned from the Colonies, on the System of Slavery as It Now Exists (Ashton  Warner): 4 | Recollections of Slavery Times (Allen  Parker): 3 | Slave Life in Georgia: A Narrative of the Life, Sufferings, and Escape of John Brown, a Fugitive Slave, Now in England (John  Brown): 3"
17,72,17_sold_sale_hall_sell,1789,1929,"The History of Mary Prince, a West Indian Slave. Related by Herself. With a Supplement by the Editor. To Which Is Added, the Narrative of Asa-Asa, a Captured African (Mary  Prince): 4 | Incidents in the Life of a Slave Girl. Written by Herself (Harriet A. Jacobs): 3 | The Rev. J. W. Loguen, as a Slave and as a Freeman. A Narrative of Real Life (J. W. Loguen): 3 | Samuel Hall, 47 Years a Slave; A Brief Story of His Life Before and After Freedom Came to Him (Samuel  Hall): 3 | Lunsford Lane; or, Another Helper from North Carolina (William G. Hawkins): 2"
18,70,18_trader_sold_sale_new master,1825,1912,"The White Slave; or, Memoirs of a Fugitive (Richard  Hildreth): 10 | Trials and Confessions of Madison Henderson, Alias Blanchard, Alfred Amos Warrick, James W. Seward, and Charles Brown, Murderers of Jesse Baker and Jacob Weaver, as Given by Themselves; and a Likeness of Each, Taken in Jail Shortly after Their Arrest (Madison  Henderson): 4 | The Life and Adventures of Zamba, an African Negro King; and His Experience of Slavery in South Carolina. Written by Himself. Corrected and Arranged by Peter Neilson (Peter  Neilson): 3 | The Slave: or Memoirs of Archy Moore. Vol. I (Richard  Hildreth): 3 | Slave Life in Georgia: A Narrative of the Life, Sufferings, and Escape of John Brown, a Fugitive Slave, Now in England (John  Brown): 3"
