topic,count,default_name,year_min,year_max,top_documents
55,42,55_king_whydah_dahoman_ahadee,1782,1897,"Memoirs of the Reign of Bossa Ahadee, King of Dahomy, an Inland Country of Guiney. To Which Are Added, the Author's Journey to Abomey, the Capital; and a Short Account of the African Slave Trade (Robert  Norris): 18 | The Life of Rev. John Jasper, Pastor of Sixth Mt. Zion Baptist Church, Richmond, Va., from His Birth to the Present Time, with His Theory on the Rotation of the Sun (Edwin Archer Randolph): 4 | A Tribute for the Negro: Being a Vindication of the Moral, Intellectual, and Religious Capabilities of the Colored Portion of Mankind; with Particular Reference to the African Race (Wilson  Armistead): 3 | The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comprising an Account of the Struggle for Liberty in the Island, and a Sketch of Its History to the Present Period (J. R. Beard): 3 | American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 3"
56,40,56_douglass_antislavery_audience_cunningham,1827,1906,"Frederick Douglass The Colored Orator (Frederic May Holland): 10 | Life and Times of Frederick Douglass: His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time (Frederick  Douglass): 6 | Narrative of Sojourner Truth; a Bondswoman of Olden Time, Emancipated by the New York Legislature in the Early Part of the Present Century; with a History of Her Labors and Correspondence Drawn from Her ""Book of Life;"" Also, a Memorial Chapter, Giving the Particulars of Her Last Sickness and Death. (Sojourner  Truth): 2 | Frederick Douglass (Booker T. Washington): 2 | Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 2"
57,40,57_reuben_poor reuben_di_overseer,1789,1901,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 9 | Narrative of Sojourner Truth; a Bondswoman of Olden Time, Emancipated by the New York Legislature in the Early Part of the Present Century; with a History of Her Labors and Correspondence Drawn from Her ""Book of Life;"" Also, a Memorial Chapter, Giving the Particulars of Her Last Sickness and Death. (Sojourner  Truth): 2 | Horrors of the Virginian Slave Trade and of the Slave-Rearing Plantations. The True Story of Dinah, an Escaped Virginian Slave, Now in London, on Whose Body Are Eleven Scars Left by Tortures Which Were Inflicted by Her Master, Her Own Father. Together with Extracts from the Laws of Virginia, Showing That Against These Barbarities the Law Gives Not the Smallest Protection to the Slave, But the Reverse (John Hawkins Simpson): 2 | My Bondage and My Freedom. Part I. Life as a Slave. Part II. Life as a Freeman (Frederick  Douglass): 2 | Life and Times of Frederick Douglass: His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time (Frederick  Douglass): 2"
58,39,58_industrial_race_league_mechanic,1789,1917,"An Autobiography: The Story of My Life and Work (Booker T. Washington): 9 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 5 | Up from Slavery: An Autobiography (Booker T. Washington): 3 | My Life and Work (Alexander  Walters): 2 | A Narrative of the Negro (Leila Amos Pendleton): 2"
59,39,59_antislavery_douglass_paper_garrison,1845,1914,"Life and Times of Frederick Douglass: His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time (Frederick  Douglass): 6 | Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 5 | My Bondage and My Freedom. Part I. Life as a Slave. Part II. Life as a Freeman (Frederick  Douglass): 4 | Frederick Douglass The Colored Orator (Frederic May Holland): 4 | Frederick Douglass (Charles Waddell Chesnutt): 3"
60,38,60_whip_mistress_beat_epps,1831,1892,"Autobiography of a Female Slave (Martha Griffith Browne): 3 | The Life of John Thompson, a Fugitive Slave; Containing His History of 25 Years in Bondage, and His Providential Escape.  Written by Himself (John  Thompson): 3 | Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a Soldier of the Revolution, During a Captivity of More than Twenty Years Among the Slaveholders of Kentucky, One of the So-Called Christian States of North America (Lewis Garrard Clarke): 2 | Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853 (Solomon  Northup): 2 | Scenes in the Life of Harriet Tubman (Sarah H. Bradford): 2"
61,38,61_ruggle_fugitive_mr ruggle_york,1831,1926,"Uncle Tom's Companions: Or, Facts Stranger Than Fiction.  A Supplement to Uncle Tom's Cabin: Being Startling Incidents in the Lives of Celebrated Fugitive Slaves. (John Passmore Edwards): 4 | Biography of an American Bondman, by His Daughter (Josephine  Brown): 3 | A North-Side View of Slavery. The Refugee: or the Narratives of Fugitive Slaves in Canada. Related by Themselves, with an Account of the History and Condition of the Colored Population of Upper Canada (Benjamin  Drew): 2 | Life and Times of Frederick Douglass: His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time (Frederick  Douglass): 2 | My Southern Home: or, The South and Its People (William Wells Brown): 2"
62,37,62_master hugh_hugh_escape_end week,1831,1906,"Life and Times of Frederick Douglass: His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time (Frederick  Douglass): 5 | Frederick Douglass (Booker T. Washington): 4 | Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 4 | Narrative of the Life of Frederick Douglass, an American Slave. Written by Himself (Frederick  Douglass): 3 | My Bondage and My Freedom. Part I. Life as a Slave. Part II. Life as a Freeman (Frederick  Douglass): 3"
63,37,63_douglass_disraeli_speaker_orator,1847,1914,"Men of Mark: Eminent, Progressive and Rising (William J. Simmons): 5 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 5 | Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 5 | The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 4 | Three Years in Europe: Or, Places I Have Seen and People I Have Met (William Wells Brown): 3"
64,36,64_job_caboceiro_annamaboe_tho,1734,1797,"The Royal African: or, Memoirs of the Young Prince of Annamaboe. Comprehending a Distinct Account of His Country and Family; His Elder Brother's Voyage to France, and Reception there; the Manner in Which Himself Was Confided by His Father to the Captain Who Sold Him; His Condition While a Slave in Barbadoes; the True Cause of His Bring Redeemed; His Voyage from Thence; and Reception Here in England. Interspers'd Throughout with Several Historical Remarks on the Commerce of the European Nations, Whose Subjects Frequent the Coast of Guinea. To which is Prefixed a Letter from the Author to a Person of Distinction, in Reference to Some Natural Curiosities in Africa; as Well as Explaining the Motives which Induced Him to Compose These Memoirs. (  No Author): 21 | Some Memoirs of the Life of Job, the Son of Solomon, the High Priest of Boonda in Africa; Who was a Slave About Two Years in Maryland; and Afterwards Being Brought to England, was Set Free, and Sent to His Native Land in the Year 1734 (Thomas  Bluett): 10 | The Life, and Dying Speech of Arthur, a Negro Man; Who Was Executed at Worcester, October 10, 1768. For a Rape Committed on the Body of One Deborah Metcalfe (  Arthur): 4 | Life, Last Words and Dying Speech of Stephen Smith, a Black Man, Who Was Executed at Boston This Day Being Thursday, October 12, 1797 for Burglary (Stephen  Smith): 1"
65,35,65_regiment_chaplain_soldier_army,1854,1914,"Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutenant-Colonel, Retired, U. S. Army (Charles  Alexander): 10 | The Colored Patriots of the American Revolution: With Sketches of Several Distinguished Colored Persons: To Which is Added a Brief Survey of the Condition and Prospects of Colored Americans (William Cooper Nell): 7 | Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 3 | Life and Times of Frederick Douglass: His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time (Frederick  Douglass): 3 | Lunsford Lane; or, Another Helper from North Carolina (William G. Hawkins): 3"
66,34,66_union_war_lincoln_north,1853,1914,"Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 12 | Life and Times of Frederick Douglass: His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time (Frederick  Douglass): 9 | Frederick Douglass The Colored Orator (Frederic May Holland): 4 | Frederick Douglass (Booker T. Washington): 3 | A Narrative of the Negro (Leila Amos Pendleton): 2"
67,33,67_religion_universe_mental_nature,1848,1916,"Autobiography, Sermons, Addresses, and Essays of Bishop L. H. Holsey, D. D. (Lucius Henry Holsey): 28 | The Life of Rev. John Jasper, Pastor of Sixth Mt. Zion Baptist Church, Richmond, Va., from His Birth to the Present Time, with His Theory on the Rotation of the Sun (Edwin Archer Randolph): 2 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 1 | A Tribute for the Negro: Being a Vindication of the Moral, Intellectual, and Religious Capabilities of the Colored Portion of Mankind; with Particular Reference to the African Race (Wilson  Armistead): 1 | Out of the Ditch.  A True Story of an Ex-Slave (J. Vance Lewis): 1"
68,33,68_wisdom_knowledge_truth_blind,1848,1922,"Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutenant-Colonel, Retired, U. S. Army (Charles  Alexander): 4 | Life and Adventures of James Williams, a Fugitive Slave, with a Full Description of the Underground Railroad (James  Williams): 2 | Reminiscences of School Life, and Hints on Teaching (Fanny Jackson Coppin): 2 | God's Image in Ebony: Being a Series of Biographical Sketches, Facts, Anecdotes, etc., Demonstrative of the Mental Powers and Intellectual Capacities of the Negro Race (H. G. Adams): 2 | A Tribute for the Negro: Being a Vindication of the Moral, Intellectual, and Religious Capabilities of the Colored Portion of Mankind; with Particular Reference to the African Race (Wilson  Armistead): 2"
69,33,69_aunt_evelyn_chile_sally,1810,1929,"Autobiography of a Female Slave (Martha Griffith Browne): 4 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 4 | Aunt Sally: or, The Cross the Way of Freedom. A Narrative of the Slave-life and Purchase of the Mother of Rev. Isaac Williams of Detroit, Michigan (Isaac  Williams): 2 | The Story of Archer Alexander: From Slavery to Freedom, March 30, 1863 (William Greenleaf Eliot): 2 | Incidents in the Life of a Slave Girl. Written by Herself (Harriet A. Jacobs): 1"
70,33,70_brown_john brown_harper ferry_harper,1836,1929,"Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 9 | Life and Times of Frederick Douglass: His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time (Frederick  Douglass): 6 | Frederick Douglass (Booker T. Washington): 5 | Frederick Douglass The Colored Orator (Frederic May Holland): 3 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 1"
71,33,71_boat_river_captain_board,1810,1895,"A Narrative of the Adventures and Escape of Moses Roper, from American Slavery (Moses  Roper): 3 | Life of William Grimes, the Runaway Slave, Brought Down to the Present Time. (William  Grimes): 2 | The Experience of Thomas H. Jones, who was a Slave for Forty-Three Years (Thomas H. Jones): 1 | Uncle Tom's Companions: Or, Facts Stranger Than Fiction.  A Supplement to Uncle Tom's Cabin: Being Startling Incidents in the Lives of Celebrated Fugitive Slaves. (John Passmore Edwards): 1 | Autobiography of a Fugitive Negro: His Anti-Slavery Labours in the United States, Canada, &amp; England (Samuel Ringgold Ward): 1"
72,32,72_aunt_aunt dice_dice_aunt polly,1837,1913,"Autobiography of a Female Slave (Martha Griffith Browne): 14 | Aunt Dice: The Story of a Faithful Slave (Nina Hill Robinson): 4 | Aunt Sally: or, The Cross the Way of Freedom. A Narrative of the Slave-life and Purchase of the Mother of Rev. Isaac Williams of Detroit, Michigan (Isaac  Williams): 3 | Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853 (Solomon  Northup): 2 | Fifty Years in Chains, or, The Life of an American Slave (Charles  Ball): 1"
73,32,73_freeland_mr freeland_bondage_vow,1826,1908,"My Bondage and My Freedom. Part I. Life as a Slave. Part II. Life as a Freeman (Frederick  Douglass): 4 | Uncle Tom's Companions: Or, Facts Stranger Than Fiction.  A Supplement to Uncle Tom's Cabin: Being Startling Incidents in the Lives of Celebrated Fugitive Slaves. (John Passmore Edwards): 3 | Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 2 | Narrative of the Life of Frederick Douglass, an American Slave. Written by Himself (Frederick  Douglass): 2 | Life and Times of Frederick Douglass: His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time (Frederick  Douglass): 2"
74,32,74_race_soudan_ethiopia_negro race,1789,1922,"A Tribute for the Negro: Being a Vindication of the Moral, Intellectual, and Religious Capabilities of the Colored Portion of Mankind; with Particular Reference to the African Race (Wilson  Armistead): 11 | Echoes from a Pioneer Life (Jared Maurice Arter): 6 | Autobiography, Sermons, Addresses, and Essays of Bishop L. H. Holsey, D. D. (Lucius Henry Holsey): 3 | God's Image in Ebony: Being a Series of Biographical Sketches, Facts, Anecdotes, etc., Demonstrative of the Mental Powers and Intellectual Capacities of the Negro Race (H. G. Adams): 2 | The Address of Abraham Johnstone, a Black Man, Who Was Hanged at Woodbury, in the County of Glocester, and State of New Jersey, on Saturday the the [sic]  8th Day of July Last; to the People of Colour. To Which Is Added His Dying Confession or Declaration. Also, a Copy of a Letter to His Wife, Written the Day Previous to His Execution (Abraham  Johnstone): 2"
75,31,75_plant_crop_soil_seed,1837,1929,"From Captivity to Fame or The Life of George Washington Carver (Raleigh H. Merritt): 19 | Slavery in the United States: A Narrative of the Life and Adventures of Charles Ball, a Black Man, Who Lived Forty Years in Maryland, South Carolina and Georgia, as a Slave Under Various Masters, and was One Year in the Navy with Commodore Barney, During the Late War (Charles  Ball): 3 | Fifty Years in Chains, or, The Life of an American Slave (Charles  Ball): 2 | Slave Life in Georgia: A Narrative of the Life, Sufferings, and Escape of John Brown, a Fugitive Slave, Now in England (John  Brown): 2 | The History of My Life and Work. Autobiography by Rev. M. L. Latta, A.M., D.D. (M. L. Latta): 2"
76,31,76_matthew_senate_president_jame matthew,1856,1916,"Men of Mark: Eminent, Progressive and Rising (William J. Simmons): 17 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 3 | Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 3 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 2 | Frederick Douglass (Booker T. Washington): 1"
77,31,77_corn_shuck_dat_aunt dice,1837,1911,"Aunt Dice: The Story of a Faithful Slave (Nina Hill Robinson): 6 | Life on the Old Plantation in Ante-Bellum Days, or, A Story Based on Facts (I. E. Lowery): 4 | Bond and Free: A Tale of the South (Grace  Lintner): 2 | Slavery in the United States: A Narrative of the Life and Adventures of Charles Ball, a Black Man, Who Lived Forty Years in Maryland, South Carolina and Georgia, as a Slave Under Various Masters, and was One Year in the Navy with Commodore Barney, During the Late War (Charles  Ball): 2 | My Southern Home: or, The South and Its People (William Wells Brown): 2"
78,31,78_fish_fishery_seine_shad,1789,1926,"Slavery in the United States: A Narrative of the Life and Adventures of Charles Ball, a Black Man, Who Lived Forty Years in Maryland, South Carolina and Georgia, as a Slave Under Various Masters, and was One Year in the Navy with Commodore Barney, During the Late War (Charles  Ball): 10 | Fifty Years in Chains, or, The Life of an American Slave (Charles  Ball): 9 | A Sketch of the Life of Okah Tubbee, (Called) William Chubbee, Son of the Head Chief, Mosholeh Tubbee, of the Choctaw Nation of Indians (Okah  Tubbee): 3 | A Thrilling Sketch of the Life of the Distinguished Chief Okah Tubbee Alias, Wm. Chubbee, Son of the Head Chief, Mosholeh Tubbee, of the Choctaw Nation of Indians (Okah  Tubbee): 3 | Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853 (Solomon  Northup): 1"
79,31,79_runaway_dogs_clarkson_mr clarkson,1836,1902,"My Life in the South (Jacob  Stroyer): 7 | Fifty Years of Slavery in the United States of America (Harry  Smith): 4 | American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 3 | My Southern Home: or, The South and Its People (William Wells Brown): 2 | A Narrative of Events of the Life of J. H. Banks, an Escaped Slave, from the Cotton State, Alabama, in America (James W. C. Pennington): 2"
80,31,80_boat_steamboat_passenger_st louis,1831,1914,"Narrative of William W. Brown, an American Slave. Written by Himself (William Wells Brown): 4 | Narrative of William W. Brown, a Fugitive Slave. Written by Himself (William Wells Brown): 3 | Uncle Tom's Companions: Or, Facts Stranger Than Fiction.  A Supplement to Uncle Tom's Cabin: Being Startling Incidents in the Lives of Celebrated Fugitive Slaves. (John Passmore Edwards): 3 | Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutenant-Colonel, Retired, U. S. Army (Charles  Alexander): 2 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 2"
81,31,81_mistress_missis_molino_wash,1770,1894,"Poems by a Slave in the Island of Cuba, Recently Liberated; Translated from the Spanish, by R. R. Madden, M.D. With the History of the Early Life of the Negro Poet, Written by Himself; to Which Are Prefixed Two Pieces Descriptive of Cuban Slavery and the Slave-Traffic, by R. R. M. (Juan Francisco Manzano): 7 | The History of Mary Prince, a West Indian Slave. Related by Herself. With a Supplement by the Editor. To Which Is Added, the Narrative of Asa-Asa, a Captured African (Mary  Prince): 4 | The Story of a Slave. A Realistic Revelation of a Social Relation of Slave Times--Hitherto Unwritten--From the Pen of One Who Has Felt Both the Lash and the Caress of a Mistress (  No Author): 2 | Aunt Sally: or, The Cross the Way of Freedom. A Narrative of the Slave-life and Purchase of the Mother of Rev. Isaac Williams of Detroit, Michigan (Isaac  Williams): 2 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 2"
82,31,82_walker_biography_book_university,1847,1929,"Men of Mark: Eminent, Progressive and Rising (William J. Simmons): 7 | Life of Charles T. Walker, D.D., (""The Black Spurgeon."") Pastor Mt. Olivet Baptist Church, New York City (Silas Xavier Floyd): 3 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 3 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 2 | The Life of Rev. John Jasper, Pastor of Sixth Mt. Zion Baptist Church, Richmond, Va., from His Birth to the Present Time, with His Theory on the Rotation of the Sun (Edwin Archer Randolph): 2"
83,31,83_sing_jesus_lord_ride,1797,1926,"The Life of the Rev. Dandridge F. Davis, of the African M. E. Church. With a Brief Account of His Conversion and Ministerial Labors, from August 1834, till March 1847. Also, a Brief Sketch of the Life of the Rev. David Conyou, of the A. M. E. C. and His Ministerial Labors. To Which Is Annexed the Funeral Discourse Delivered at the Ohio Conference, in Zanesville, on the Decease of the Rev. D. F. Davis, by the Author (A. R. Green): 4 | Twenty-Eight Years a Slave, or The Story of My Life in Three Continents (Thomas L. Johnson): 2 | Narrative of the Life of Henry Box Brown, Written by Himself (Henry Box Brown): 2 | From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins of the British Methodist Episcopal Church Canada (S. J. Celestine Edwards): 2 | The Experience of a Slave in South Carolina (John Andrew Jackson): 2"
84,30,84_madison_ennis_warrick_brown,1790,1873,"Trials and Confessions of Madison Henderson, Alias Blanchard, Alfred Amos Warrick, James W. Seward, and Charles Brown, Murderers of Jesse Baker and Jacob Weaver, as Given by Themselves; and a Likeness of Each, Taken in Jail Shortly after Their Arrest (Madison  Henderson): 24 | Sketches of the Life of Joseph Mountain, a Negro, Who Was Executed at New-Haven, on the 20th Day of October, 1790, for a Rape, Committed on the 26th Day of May Last. [The Writer of This History Has Directed That the Money Arising From the Sales Thereof, After Deducting the Expence of Printing, &amp;c. Be Given to the Unhappy Girl, Whose Life Is Rendered Wretched by the Crime of the Malefactor.] (Joseph  Mountain): 4 | Confession of John Joyce, Alias Davis, Who Was Executed on Monday, the 14th of March, 1808. For the Murder of Mrs. Sarah Cross; With an Address to the Public and People of Colour. Together with the Substance of the Trial, and the Address of Chief Justice Tilghman, on His Condemnation. Confession of Peter Mathias, Alias Matthews, Who Was Executed on Monday, the 14th of March, 1808. For the Murder of Mrs. Sarah Cross; With an Address to the Public and People of Colour. Together with the Substance of the  Trial, and the Address of Chief Justice Tilghman, on His Condemnation (John  Joyce): 1 | The History of William Webb, Composed by Himself (William  Webb): 1"
85,30,85_affray_pistol_shot_knife,1839,1914,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 26 | Twenty-Two Years a Slave, and Forty Years a Freeman; Embracing a Correspondence of Several Years, While President of Wilberforce Colony, London, Canada West (Austin  Steward): 1 | Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutenant-Colonel, Retired, U. S. Army (Charles  Alexander): 1 | Trials and Confessions of Madison Henderson, Alias Blanchard, Alfred Amos Warrick, James W. Seward, and Charles Brown, Murderers of Jesse Baker and Jacob Weaver, as Given by Themselves; and a Likeness of Each, Taken in Jail Shortly after Their Arrest (Madison  Henderson): 1 | The Life and Adventures of Zamba, an African Negro King; and His Experience of Slavery in South Carolina. Written by Himself. Corrected and Arranged by Peter Neilson (Peter  Neilson): 1"
86,30,86_aunt katy_kate_katy_baby,1836,1922,"The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 4 | Bond and Free: A Tale of the South (Grace  Lintner): 4 | Autobiography of a Female Slave (Martha Griffith Browne): 3 | Narrative of Sojourner Truth; a Bondswoman of Olden Time, Emancipated by the New York Legislature in the Early Part of the Present Century; with a History of Her Labors and Correspondence, Drawn from Her ""Book of Life"" (Sojourner  Truth): 2 | Narrative of Sojourner Truth, a Northern Slave, Emancipated from Bodily Servitude by the State of New York, in 1828 (Sojourner  Truth): 2"
87,30,87_lucilla_mrs moore_precious child_agony,1831,1894,"The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-Three Years. Written by a Friend, as Related to Him by Brother Jones (Thomas H. Jones): 4 | Experience and Personal Narrative of Uncle Tom Jones; Who Was for Forty Years a Slave. Also the Surprising Adventures of Wild Tom, of the Island Retreat, a Fugitive Negro from South Carolina (Thomas H. Jones): 4 | The Experience of Thomas H. Jones, who was a Slave for Forty-Three Years (Thomas H. Jones): 4 | The Story of a Slave. A Realistic Revelation of a Social Relation of Slave Times--Hitherto Unwritten--From the Pen of One Who Has Felt Both the Lash and the Caress of a Mistress (  No Author): 2 | Chains and Freedom: Or, The Life and Adventures of Peter Wheeler, a Colored Man Yet Living. A Slave in Chains, a Sailor on the Deep, and a Sinner at the Cross (Peter  Wheeler): 2"
