topic,count,default_name,year_min,year_max,top_documents
9,33,9_miller_madison_store_gavitt,1810,1917,"Trials and Confessions of Madison Henderson, Alias Blanchard, Alfred Amos Warrick, James W. Seward, and Charles Brown, Murderers of Jesse Baker and Jacob Weaver, as Given by Themselves; and a Likeness of Each, Taken in Jail Shortly after Their Arrest (Madison  Henderson): 19 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 5 | Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a Soldier of the Revolution, During a Captivity of More than Twenty Years Among the Slaveholders of Kentucky, One of the So-Called Christian States of North America (Lewis Garrard Clarke): 2 | The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named Jeffrey Brace. Containing an Account of the Kingdom of Bow-Woo, in the Interior of Africa; with the Climate and Natural Productions, Laws, and Customs Peculiar to That Place. With an Account of His Captivity, Sufferings, Sales, Travels, Emancipation, Conversion to the Christian Religion, Knowledge of the Scriptures, &amp;c. Interspersed with Strictures on Slavery, Speculative Observations on the Qualities of Human Nature, with Quotation from Scripture (Boyrereau  Brinch): 1 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 1"
10,30,10_writer_yea_amen_conference,1826,1916,"Wilkerson's History of His Travels &amp; Labors, in the United States, As a Missionary, in Particular, That of the Union Seminary, Located in Franklin Co., Ohio, Since He Purchased His Liberty in New Orleans, La. &amp;c. (Major James Wilkerson): 14 | From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins of the British Methodist Episcopal Church Canada (S. J. Celestine Edwards): 5 | Slavery Illustrated, in the Histories of Zangara and Maquama, Two Negroes Stolen From Africa and Sold Into Slavery. Related by Themselves (  No Author): 4 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 2 | Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 2"
11,29,11_darkey_dogs_plantation_overseer,1841,1929,"Last of the Pioneers: Or, Old Times in East Tenn., Being the Life and Reminiscences of Pharaoh Jackson Chesney (Aged 120 Years) (Pharaoh Jackson Chesney): 8 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 5 | From Slavery to Wealth. The Life of Scott Bond.  The Rewards of Honesty, Industry, Economy and Perseverance (Dan. A. Rudd): 4 | Old Plantation Days (W.  Mallory): 3 | Recollections of Slavery Times (Allen  Parker): 2"
12,27,12_cyrus_road_journey_jerry,1846,1917,"Life of Isaac Mason as a Slave (Isaac  Mason): 7 | Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a Soldier of the Revolution, During a Captivity of More than Twenty Years Among the Slaveholders of Kentucky, One of the So-Called Christian States of North America (Lewis Garrard Clarke): 5 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 5 | The Narrative of Bethany Veney: A Slave Woman (Bethany  Veney): 3 | Old Plantation Days (W.  Mallory): 3"
13,26,13_teacher_pupil_class_verb,1826,1913,"Reminiscences of School Life, and Hints on Teaching (Fanny Jackson Coppin): 25 | Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 1"
14,26,14_heaven_harry_lord_christ,1826,1916,"Wilkerson's History of His Travels &amp; Labors, in the United States, As a Missionary, in Particular, That of the Union Seminary, Located in Franklin Co., Ohio, Since He Purchased His Liberty in New Orleans, La. &amp;c. (Major James Wilkerson): 9 | Narratives of Colored Americans (Abigail  Mott): 6 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 4 | Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 3 | Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a Soldier of the Revolution, During a Captivity of More than Twenty Years Among the Slaveholders of Kentucky, One of the So-Called Christian States of North America (Lewis Garrard Clarke): 2"
15,25,15_madison_brown_ennis_warrick,1841,1841,"Trials and Confessions of Madison Henderson, Alias Blanchard, Alfred Amos Warrick, James W. Seward, and Charles Brown, Murderers of Jesse Baker and Jacob Weaver, as Given by Themselves; and a Likeness of Each, Taken in Jail Shortly after Their Arrest (Madison  Henderson): 25"
16,25,16_jesus_sarah_pray_lord,1826,1916,"Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 9 | Narratives of Colored Americans (Abigail  Mott): 5 | Memories of Childhood's Slavery Days (Annie L. Burton): 4 | Old Plantation Days (W.  Mallory): 2 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 1"
17,24,17_vina_peter_aunt_gist,1826,1856,"The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 16 | Memoir of Pierre Toussaint, Born a Slave in St. Domingo (Hannah Farnham Sawyer Lee): 4 | From the Darkness Cometh the Light or Struggles for Freedom (Lucy A. Delaney): 2 | Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 1 | The Colored Patriots of the American Revolution: With Sketches of Several Distinguished Colored Persons: To Which is Added a Brief Survey of the Condition and Prospects of Colored Americans (William Cooper Nell): 1"
18,22,18_army_war_st domingo_domingo,1855,1902,"The Colored Patriots of the American Revolution: With Sketches of Several Distinguished Colored Persons: To Which is Added a Brief Survey of the Condition and Prospects of Colored Americans (William Cooper Nell): 12 | The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 8 | Old Plantation Days (W.  Mallory): 1 | Last of the Pioneers: Or, Old Times in East Tenn., Being the Life and Reminiscences of Pharaoh Jackson Chesney (Aged 120 Years) (Pharaoh Jackson Chesney): 1"
19,22,19_church_conference_bishop_rev,1875,1916,"Biography of Rev. David Smith of the A. M. E. Church; Being a Complete History, Embracing over Sixty Years' Labor in the Advancement of the Redeemer's Kingdom on Earth. Including ""The History of the Origin and Development of Wilberforce University."" (David  Smith): 14 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 6 | From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins of the British Methodist Episcopal Church Canada (S. J. Celestine Edwards): 1 | Narratives of Colored Americans (Abigail  Mott): 1"
20,22,20_school_teach_taught_education,1826,1929,"Reminiscences of School Life, and Hints on Teaching (Fanny Jackson Coppin): 11 | My Life and Travels (Levi  Branham): 2 | Narrative of William Hayden, Containing a Faithful Account of His Travels for a Number of Years, Whilst a Slave, in the South. Written by Himself (William  Hayden): 2 | From Slavery to Wealth. The Life of Scott Bond.  The Rewards of Honesty, Industry, Economy and Perseverance (Dan. A. Rudd): 2 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 1"
21,22,21_church_bishop_methodist_conference,1881,1916,"Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 19 | Biography of Rev. David Smith of the A. M. E. Church; Being a Complete History, Embracing over Sixty Years' Labor in the Advancement of the Redeemer's Kingdom on Earth. Including ""The History of the Origin and Development of Wilberforce University."" (David  Smith): 3"
